,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
504,Juba,270.46,269.82,271.15,26.93,57.82,4.1,74,77
505,Byron Bay,290.78,288.15,295.37,153.62,-28.65,0.09,82,90
506,Lata,265.33,265.33,265.33,78.62,30.78,3.31,18,0
507,Santa Brigida,276.17,272.59,279.82,9.62,45.98,2.1,86,0
508,Centenario do Sul,303.83,303.83,303.83,-51.6,-22.82,3.52,55,56
509,Imbituba,304.15,304.15,304.15,-48.67,-28.24,7.2,58,20
510,Mayumba,300.77,300.77,300.77,10.65,-3.44,2.98,80,69
511,Naze,304.15,304.15,304.15,7.07,5.43,1.73,48,90
512,Tvoroyri,281.15,281.15,281.15,-6.81,61.56,5.1,100,100
513,Jardim,309.36,309.36,309.36,-56.15,-21.48,3.37,35,70
514,Gualeguay,311.94,311.94,311.94,-59.31,-33.15,2.48,25,100
515,Corrales,288.54,288.54,288.54,-72.84,5.83,1.14,74,62
516,Sept-Iles,270.67,270.15,270.93,-66.38,50.2,4.1,68,75
517,Kapit,296.21,296.21,296.21,112.94,2.02,0.53,98,100
518,Saint Anthony,261.19,259.15,264.15,-111.68,43.97,0.86,78,90
